Vecindario,Vecindario Latitude,Vecindario Longitude,Lugar,Lugar Latitude,Lugar Longitude,Categoria Lugar
City Center (Neighborhood),37.8022,-122.273,Maple Street Denim,37.8009,-122.274,Clothing Store
City Center (Neighborhood),37.8022,-122.273,Swan's Market,37.8016,-122.275,Food Court
City Center (Neighborhood),37.8022,-122.273,b-Dama,37.8016,-122.275,Japanese Restaurant
City Center (Neighborhood),37.8022,-122.273,Galeto Brazilian Steakhouse,37.8031,-122.275,Brazilian Restaurant
City Center (Neighborhood),37.8022,-122.273,Golden Lotus Vegetarian Restaurant,37.8033,-122.27,Vegetarian / Vegan Restaurant
City Center (Neighborhood),37.8022,-122.273,Napoleon Super Bakery,37.8,-122.272,Bakery
City Center (Neighborhood),37.8022,-122.273,Golden Tea Shop,37.8006,-122.273,Tea Room
City Center (Neighborhood),37.8022,-122.273,Le Cheval,37.8027,-122.275,Vietnamese Restaurant
City Center (Neighborhood),37.8022,-122.273,Tay Ho Restaurant & Bar,37.8021,-122.27,Vietnamese Restaurant
City Center (Neighborhood),37.8022,-122.273,Shan Dong,37.8005,-122.27,Chinese Restaurant
City Center (Neighborhood),37.8022,-122.273,Gyu-Kaku Japanese BBQ,37.8002,-122.274,Japanese Restaurant
City Center (Neighborhood),37.8022,-122.273,Golden Peacock Restaurant,37.7996,-122.271,Chinese Restaurant
City Center (Neighborhood),37.8022,-122.273,Binh Minh Quan,37.802,-122.269,Vietnamese Restaurant
City Center (Neighborhood),37.8022,-122.273,i-Tea Bubble Tea & Smoothie,37.8005,-122.271,Bubble Tea Shop
City Center (Neighborhood),37.8022,-122.273,Lucky Duck Bicycle Cafe,37.8017,-122.269,Café
City Center (Neighborhood),37.8022,-122.273,Modern Coffee,37.8033,-122.271,Coffee Shop
City Center (Neighborhood),37.8022,-122.273,Oaklandish,37.8051,-122.271,Clothing Store
City Center (Neighborhood),37.8022,-122.273,Oeste,37.8008,-122.276,Bar
City Center (Neighborhood),37.8022,-122.273,Delicious Curry House,37.8046,-122.27,Restaurant
City Center (Neighborhood),37.8022,-122.273,Shooting Star Cafe,37.801,-122.27,Chinese Restaurant
City Center (Neighborhood),37.8022,-122.273,The Kon-Tiki,37.8033,-122.269,Tiki Bar
City Center (Neighborhood),37.8022,-122.273,New Gold Medal Restaurant,37.7996,-122.272,Chinese Restaurant
City Center (Neighborhood),37.8022,-122.273,Wonder Food Bakery,37.7999,-122.271,Bakery
City Center (Neighborhood),37.8022,-122.273,Awaken Cafe & Roasting,37.8052,-122.271,Coffee Shop
City Center (Neighborhood),37.8022,-122.273,Ume Yoga,37.8055,-122.271,Yoga Studio
